ques_id,expression,disease,disease_type,ques_eng,refer_if,ques_hi,is_required,images
106,age > 12 && age <= 15,24.Motor delay ,Developmental delays and Disabilities,"Does the child pickup small objects using thumb and index finger like peas, raisins (kismis) (FM)",No,"क्या बच्चा मटर, किशमिश (किसमिस) (एफएम) जैसी अंगूठे और तर्जनी का उपयोग करके छोटी वस्तुओं को उठाता है",Yes,
107,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child walk alone (GM),No,क्या बच्चा अकेला चलता है (जीएम),Yes,
108,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child play by putting small things or objects into a container? (Cup or Katori) (FM),No,क्या बच्चा एक कंटेनर में छोटी चीजों या वस्तुओं को रखकर खेलता है? (कप या कटोरी) (एफएम),Yes,
109,age > 15 && age <= 18,24.Motor delay ,Developmental delays and Disabilities,Does the child make gestures on verbal request like pointing to objects? (pointing the index finger when asked “Where is the ball” (FM),No,"क्या बच्चा मौखिक अनुरोध पर इशारों को वस्तुओं की ओर इशारा करता है? (इंडेक्स फिंगर को इंगित करते हुए जब पूछा गया कि ""गेंद कहां है"" (एफएम)",Yes,
110,age > 18 && age <= 24,24.Motor delay ,Developmental delays and Disabilities,Does the child walk steadily even while pulling a toy? (GM),No,क्या बच्चा खिलौना खींचते हुए भी लगातार चलता है? (जीएम),Yes,
111,age > 18 && age <= 24,24.Motor delay ,Developmental delays and Disabilities,Does the child scribble spontaneously (FM),No,क्या बच्चा अनायास (FM),Yes,
112,age > 24 && age <= 30,24.Motor delay ,Developmental delays and Disabilities,Does the child climb upstairs and downstairs? (GM),No,क्या बच्चा ऊपर और नीचे चढ़ता है? (जीएम),Yes,
113,age > 24 && age <= 30,24.Motor delay ,Developmental delays and Disabilities,Does the child feed self either with hand or spoon? (FM),No,क्या बच्चा स्वयं को हाथ या चम्मच से खिलाता है? (एफएम),Yes,
114,age > 30 && age <= 72,24.Motor delay ,Developmental delays and Disabilities,Does your child have stiffness or floppiness and/or reduced strength in his/her arms or legs? (GM),No,क्या आपके बच्चे में अकड़न या अकड़न है और / या उसकी बाहों या पैरों में ताकत कम हो गई है? (जीएम),Yes,
115,(age > 30 && age <= 72) || (age > 72 && age <= 120) || (age > 120 && age <= 216),24.Motor delay ,Developmental delays and Disabilities,"Compared with other children of his/her age, did the child have any delay in walking? (GM)",Yes,"उसकी / उसके उम्र के अन्य बच्चों की तुलना में, बच्चे को चलने में कोई देरी हुई? (जीएम)",Yes,
116,age >= 2 && age <= 4,25.Cognitive delay,Developmental delays and Disabilities,"Does the child coos or able to vocalize other than crying? Like “ooh”, “ng” (S)",No,"क्या बच्चा रोता है या रोने के अलावा अन्य स्वर मुखर कर पाता है? जैसे ""ऊह"", ""एनजी"" (एस)",Yes,
117,age >= 2 && age <= 4,25.Cognitive delay,Developmental delays and Disabilities,"Does the child give a social smile? (Reciprocal, responds to mother expression or smile i.e. smile back at you) (S)",No,"क्या बच्चा सामाजिक मुस्कान देता है? (पारस्परिक, माँ की अभिव्यक्ति या मुस्कुराहट पर प्रतिक्रिया देता है यानी आप पर मुस्कुराता है) (एस)",Yes,
118,age > 4 && age <= 6,25.Cognitive delay,Developmental delays and Disabilities,Does the child sucks on hands? (C),No,क्या बच्चा हाथों पर चूसता है? (सी),Yes,
119,age > 6 && age <= 9,25.Cognitive delay,Developmental delays and Disabilities,Does the child raises hands to be picked up by parents? (S),No,क्या बच्चा माता-पिता द्वारा उठाए जाने के लिए हाथ उठाता है? (एस),Yes,
120,age > 6 && age <= 9,25.Cognitive delay,Developmental delays and Disabilities,Does the child look for a spoon or toy that has dropped? (C+V),No,क्या बच्चा एक चम्मच या खिलौने की तलाश करता है जो गिरा है? (सी + V),Yes,
121,age > 9 && age <= 12,25.Cognitive delay,Developmental delays and Disabilities,Does the child respond to his or her name? (H&C),No,क्या बच्चा उसके नाम का जवाब देता है? (एच एंड सी),Yes,
122,age > 9 && age <= 12,25.Cognitive delay,Developmental delays and Disabilities,Does the child enjoy playing hide-and-seek (peek-a-boo)? (S),No,क्या बच्चे को लुका-छिपी खेलने में मजा आता है? (एस),Yes,
123,age > 12 && age <= 15,25.Cognitive delay,Developmental delays and Disabilities,Does the child imitate action like bye-bye/clap/kiss? (wave good bye or greet you) (S),No,अलविदा अलविदा की तरह बच्चे को नकल कार्रवाई / ताली / चुंबन करता है? (लहर अलविदा या आपको नमस्कार) (एस),Yes,
124,age > 12 && age <= 15,25.Cognitive delay,Developmental delays and Disabilities,Does the child cry when a stran-ger picks him up? Differentiates familiar faces from strangers (S&C),No,क्या बच्चा रोता है जब एक अजनबी-गेर उसे उठाता है? अजनबियों (एस एंड सी) से परिचित चेहरे को अलग करता है,Yes,
125,age > 12 && age <= 15,25.Cognitive delay,Developmental delays and Disabilities,Does the child search for completely hidden objects (C),No,क्या बच्चा पूरी तरह से छिपी हुई वस्तुओं की खोज करता है (C),Yes,
126,age > 15 && age <= 18,25.Cognitive delay,Developmental delays and Disabilities,Does the child manipulate or explore a toy with his/her finger like poking or pulling the toy (C),No,क्या बच्चा अपनी उंगली से किसी खिलौने में छेड़छाड़ करता है या उसका पता लगाता है जैसे खिलौना को पीना या खींचना (C),Yes,
127,age > 18 && age <= 24,25.Cognitive delay,Developmental delays and Disabilities,"Does the child imitate house hold tasks? (try to copy domestic chores like sweeping, washing clothes) (C)",No,"क्या बच्चा घर के कार्यों की नकल करता है? (कोशिश करें कि घरेलू काम जैसे कि कपड़े धोना, कपड़े धोना) (C)",Yes,
128,age > 24 && age <= 30,25.Cognitive delay,Developmental delays and Disabilities,Does the child paly along with other children? (S),No,क्या बच्चा अन्य बच्चों के साथ पालता है? (एस),Yes,
129,age > 24 && age <= 30,25.Cognitive delay,Developmental delays and Disabilities,Does the child enjoy simple pretend play like feeding a doll (C),No,क्या बच्चा गुड़िया (सी) खिलाने जैसा सरल नाटक करता है,Yes,
130,age > 30 && age <= 72,25.Cognitive delay,Developmental delays and Disabilities,"Compared to children of his age, does your child find it difficult to read or write or do simple calculations? (C)",No,"उसकी उम्र के बच्चों की तुलना में, क्या आपके बच्चे को पढ़ना या लिखना या सरल गणना करना मुश्किल लगता है? (सी)",Yes,
131,age > 30 && age <= 72,25.Cognitive delay,Developmental delays and Disabilities,"Compared with other children of his/her age, does your child have difficulty in sustaining attention on activities at school, home or play? (C)",No,"उसकी / उसकी उम्र के अन्य बच्चों की तुलना में, क्या आपके बच्चे को स्कूल, घर या खेलने की गतिविधियों पर ध्यान देने में कठिनाई होती है? (सी)",Yes,
132,age > 30 && age <= 72,25.Cognitive delay,Developmental delays and Disabilities,"As compared with other children of his/her age, does your child have difficulty in learining new things? (C)",No,"उसकी / उसकी उम्र के अन्य बच्चों की तुलना में, क्या आपके बच्चे को नई चीज़ों के बारे में बताने में कठिनाई होती है? (सी)",Yes,
133,(age > 72 && age <= 120) || (age > 120 && age <= 216),25.Cognitive delay,Developmental delays and Disabilities,"Compared with other children of his / her age, does the child have difficulty in learning new things? (C)",Yes,उसकी उम्र के अन्य बच्चों की तुलना में क्या बच्चे को नई चीजें सीखने में कठिनाई होती है? (सी),Yes,
134,age > 12 && age <= 15,25.Cognitive delay,Developmental delays and Disabilities,Does the child stops activity in response to “No” (H&C),No,"क्या बच्चा ""नहीं"" (एच एंड सी) के जवाब में गतिविधि बंद कर देता है",Yes,
135,age > 15 && age <= 18,25.Cognitive delay,Developmental delays and Disabilities,Does the child follow simple one step direction as for e.g. “sit down” (H&C),No,"क्या बच्चा सरल कदम की दिशा का अनुसरण करता है जैसे कि ""बैठ जाओ"" (एच एंड सी)",Yes,
136,age > 18 && age <= 24,25.Cognitive delay,Developmental delays and Disabilities,"Does the child point to 2 or more body parts? (e.g. show me your nose, child points to nose by using one finger)? (H&C)",No,"क्या बच्चा 2 या अधिक शरीर के अंगों की ओर इशारा करता है? (जैसे मुझे अपनी नाक दिखाओ, एक उंगली का इस्तेमाल करके बच्चा नाक से इशारा करता है)? (एच एंड सी)",Yes,
137,age > 15 && age <= 18,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Does your child look in your eyes for more than a second or two (poor eye contact)?,No,क्या आपका बच्चा एक या दो से अधिक समय तक आपकी आंखों में दिखता है (खराब आंख से संपर्क)?,Yes,
138,age > 15 && age <= 18,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Does your child ever use his/her index finger to point to ask for something?,No,क्या आपका बच्चा कभी कुछ मांगने के लिए अपनी तर्जनी उंगली का उपयोग करता है?,Yes,
139,age > 15 && age <= 18,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Have you ever wondered that your child is deaf or is not responding to his/her name when you call (not communicating even through gestures)?,Yes,क्या आपने कभी सोचा है कि जब आप कॉल करते हैं तो आपका बच्चा बहरा होता है या उसके नाम का जवाब नहीं देता है (इशारों के माध्यम से भी संचार नहीं करता है)?,Yes,
140,age > 18 && age <= 24,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Does your child take an interest in other children or play with other children?,No,क्या आपका बच्चा अन्य बच्चों में दिलचस्पी लेता है या अन्य बच्चों के साथ खेलता है?,Yes,
141,age > 18 && age <= 24,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Does your child make unusual finger movements/ repetitive hand and body movements like finger Wriggling/ flapping/ spinning/ jumping? (Repeated purposeless motor activity),Yes,क्या आपका बच्चा असामान्य उंगली आंदोलनों / दोहराव वाले हाथ और शरीर की गतिविधियों को उंगली से छेड़छाड़ / फड़फड़ाता / कताई / कूदता है? (बार-बार उद्देश्यहीन मोटर गतिविधि),Yes,
142,age > 18 && age <= 24,27.Behaviour disorder (Autism),Developmental delays and Disabilities,Does your child ever pretend play (talk on phone/take care of dolls)?,No,क्या आपका बच्चा कभी खेलने का नाटक करता है (फोन पर बात करता है / गुड़िया का ख्याल रखता है)?,Yes,
143,(age > 72 && age <= 120) || (age > 120 && age <= 216),23.Neuro motor impairment,Developmental delays and Disabilities,"Does the child have stiffness or floppiness and/or reduced strength in his/her arms or legs? (GM, NMI)",Yes,"क्या बच्चे को उसकी / उसकी बाहों या पैरों में अकड़न या अकड़न और / या ताकत कम हो गई है? (जीएम, एनएमआई)",Yes,
144,(age > 72 && age <= 120) || (age > 120 && age <= 216),28.Learning disorder,Developmental delays and Disabilities,"Compared to his/her classmates, does the child find it difficult to read or write or to do simple calculations? (LD)",Yes,"अपने सहपाठियों की तुलना में, क्या बच्चे को पढ़ना या लिखना या सरल गणना करना मुश्किल लगता है? (एलडी)",Yes,
145,(age > 72 && age <= 120) || (age > 120 && age <= 216),29.Attention deficit hyperactivity disorder ,Developmental delays and Disabilities,"As compared to children of his/her age, does the child have difficulty in sustaining attention on activities at school, home or play? (ADHD)",Yes,"उसकी उम्र के बच्चों की तुलना में, क्या बच्चे को स्कूल, घर या खेलने की गतिविधियों पर ध्यान देने में कठिनाई होती है? (एडीएचडी)",Yes,
146,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Is there a history of Itching on the skin (especially at night)?,Yes,क्या त्वचा पर खुजली का इतिहास है (विशेषकर रात में)?,Yes,1.jpeg
147,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Does the child complain of pain from skin problem?,Yes,क्या बच्चा त्वचा की समस्या से दर्द की शिकायत करता है?,Yes,1.jpeg
148,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Are there rashes (especially between the fingers)?,Yes,क्या चकत्ते हैं (विशेषकर उंगलियों के बीच)?,Yes,1.jpeg
149,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Are there sores (abrasions) on the skin from scratching and digging?,Yes,वहाँ खरोंच और खुदाई से त्वचा पर घावों (abrasions) हैं?,Yes,1.jpeg
150,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Are there any thin, pencil-mark lines on the skin (indicative of burrows)?",Yes,"क्या त्वचा पर कोई पतली, पेंसिल-निशान वाली रेखाएं हैं (बिल्व का संकेत)?",Yes,1.jpeg
151,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Extensive warm, redness and swelling",Yes,"व्यापक गर्म, लालिमा और सूजन",Yes,1.jpeg
152,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Localized warm, tender swelling or redness",Yes,"स्थानीयकृत गर्म, निविदा सूजन या लालिमा",Yes,1.jpeg
153,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Swelling or redness around the eyes,Yes,आंखों के आसपास सूजन या लालिमा,Yes,1.jpeg
154,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Obvious wound with pus or crusts,Yes,मवाद या क्रस्ट्स के साथ स्पष्ट घाव,Yes,1.jpeg
155,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Small swellings on the skin of the hands, knees, elbows, feet, trunk",Yes,"हाथ, घुटने, कोहनी, पैर, सूंड की त्वचा पर छोटे-छोटे सूजन",Yes,1.jpeg
156,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Round or oval scaly patches,Yes,गोल या अंडाकार पपड़ीदार पैच,Yes,1.jpeg
157,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Ask for any discharge from skin, itching, bleeding",Yes,"त्वचा से किसी भी निर्वहन, खुजली, रक्तस्राव के लिए पूछें",Yes,"2.jpeg,3.jpeg,4.jpeg,5.jpeg"
158,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Redness, skin oedema (swelling)",Yes,"लाली, त्वचा शोफ (सूजन)",Yes,"2.jpeg,3.jpeg,4.jpeg,5.jpeg"
159,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Itching and dryness,Yes,खुजली और सूखापन,Yes,"2.jpeg,3.jpeg,4.jpeg,5.jpeg"
160,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Crusting, flaking, blistering",Yes,"क्रस्टिंग, फ्लेकिंग, ब्लिस्टरिंग",Yes,"2.jpeg,3.jpeg,4.jpeg,5.jpeg"
161,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Cracking, oozing or bleeding",Yes,"क्रैकिंग, ओज़िंग या रक्तस्राव",Yes,"2.jpeg,3.jpeg,4.jpeg,5.jpeg"
162,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Burning sensation,Yes,जलन की अनुभूति,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
163,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Any hair loss, as fungal infections of scalp can lead to hair loss",Yes,"किसी भी बाल झड़ने, खोपड़ी के फंगल संक्रमण के रूप में बालों के झड़ने का कारण बन सकता है",Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
164,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Whether painful or not. Usually fungal infections are painless.,Yes,चाहे दर्द हो या न हो। आमतौर पर फंगल संक्रमण दर्द रहित होता है।,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
165,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Redness of skin,Yes,त्वचा की लालिमा,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
166,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Rashes,Yes,चकत्ते,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
167,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Discharge,Yes,मुक्ति,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
168,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Crusting/ scaling/ flaking,Yes,क्रस्टिंग / स्केलिंग / फ्लेकिंग,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
169,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,"Creamy white lesions on tongue, inner cheeks and sometimes on the roof of mouth, gums and tonsils",Yes,"जीभ, भीतरी गाल और कभी-कभी मुंह, मसूड़ों और टॉन्सिल की छत पर मलाईदार सफेद घाव",Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
170,age > 0 && age <= 216,15.Skin conditions,Child hood Diseases,Lesions with a cottage cheese-like appearance,Yes,पनीर की तरह दिखने वाला लेसन,Yes,"6.jpeg,7.jpeg,8.jpeg,9.jpeg,10.jpeg,11.jpeg,12.jpeg,13.jpeg,14.jpeg"
171,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Has the child experienced seizures?,Yes,क्या बच्चे को दौरे का अनुभव हुआ है?,Yes,
172,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Did the child bite his/her tongue?,Yes,क्या बच्चा अपनी जीभ काटता है?,Yes,
173,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Did the child turn blue?,Yes,क्या बच्चा नीला हो गया?,Yes,
174,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Was it followed by a period of deep or noisy breathing?,Yes,क्या यह गहरी या शोर-शराबा की अवधि के बाद था?,Yes,
175,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Did he/ she pass urine during the seizure?,Yes,क्या उसने दौरे के दौरान मूत्र त्याग किया था?,Yes,
176,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Did the child experience rhythmic/ jerky movements of the hands?,Yes,क्या बच्चे ने हाथों की लयबद्ध / झटकेदार आंदोलनों का अनुभव किया?,Yes,
177,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,"Does the child experience ‘aura’? Some people with epilepsy have a strange sensation (such as tingling, smelling an odor that is not actually there, or emotional changes) before each seizu",Yes,"क्या बच्चा ura आभा ’का अनुभव करता है? मिर्गी के साथ कुछ लोगों में एक अजीब सनसनी होती है (जैसे झुनझुनी, एक गंध को सूंघना जो वास्तव में नहीं है, या भावनात्मक परिवर्तन) प्रत्येक सेज़ू से पहले",Yes,
178,age > 0 && age <= 216,20.Convulsive disorders,Child hood Diseases,Was the seizure caused by a short-term problem (like fever or infection) that can becorrected?,Yes,क्या जब्ती एक अल्पकालिक समस्या (जैसे बुखार या संक्रमण) के कारण हुई है जिसे ठीक किया जा सकता है?,Yes,
179,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,"Does the child have reduced appetite, gets easily fatigued, has weakness?",Yes,"क्या बच्चे ने भूख कम कर दी है, आसानी से थक जाता है, कमजोरी आ जाती है?",Yes,
180,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Is the child irritable?,Yes,क्या बच्चा चिड़चिड़ा है?,Yes,
181,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Does the child have shortness of breath?,Yes,क्या बच्चे में सांस की तकलीफ है?,Yes,
182,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,"Does the child have unusual food cravings, eats mud (pica)?",Yes,"क्या बच्चे को असामान्य भोजन cravings, कीचड़ (पिका) खाती है?",Yes,
183,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,History of irregular /scanty periods amongst adolescent girls.,Yes,किशोर लड़कियों के बीच अनियमित / डरावनी अवधि का इतिहास।,Yes,
184,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Look for pale skin color (pallor),Yes,पीला त्वचा का रंग (पैलोर) देखें,Yes,"1.jpeg,2.jpeg"
185,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Skin and Conjunctiva: Jaundice,Yes,त्वचा और कंजाक्तिवा: पीलिया,Yes,
186,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Tongue: smooth or beefy tongue,Yes,जीभ: चिकनी या मांसल जीभ,Yes,
187,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Spleen and liver: enlarged or big,Yes,प्लीहा और यकृत: बढ़े हुए या बड़े,Yes,
188,age > 6 && age <= 216,10.Severe Anaemia,Deficiencies,Cardiac Murmurs,Yes,कार्डिएक मर्मर्स,Yes,1.jpeg
189,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Widening of the wrist and ankle bones,Yes,कलाई और टखने की हड्डियों का चौड़ीकरण,Yes,1.jpeg
190,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Nodular swelling,Yes,गांठदार सूजन,Yes,1.jpeg
191,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Dental deformities,Yes,दंत विकृति,Yes,1.jpeg
192,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Bent legs (Bow legs),Yes,तुला पैर (बो लेग),Yes,1.jpeg
193,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Hunched posture,Yes,कूबड़ वाला आसन,Yes,1.jpeg
194,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Chest and rib deformities (nodules or bumps) at the end of ribs (rachitic rosary) and/ or chest beads.,Yes,पसलियों (rachitic माला) और / या छाती के मोतियों के अंत में छाती और रिब विकृति (गांठ या धक्कों)।,Yes,1.jpeg
195,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Does the child feel pain in legs during walking?,Yes,क्या चलने के दौरान बच्चे को पैरों में दर्द महसूस होता है?,Yes,
196,age > 0 && age <= 216,"12.Vitamin D Deficiency, (Rickets)",Deficiencies,Does the child complain of tiredness (especially during daytime)?,Yes,क्या बच्चा थकावट की शिकायत करता है (विशेषकर दिन के समय)?,Yes,
197,age > 120 && age <= 216,31.Growing up concerns,Adolescent,Do you always find it difficult to handle things in your life that has resulted from changes occurring in your body?,Yes,क्या आपको हमेशा अपने जीवन में उन चीजों को संभालना मुश्किल है जो आपके शरीर में होने वाले परिवर्तनों के कारण हुई हैं?,Yes,
198,age > 120 && age <= 216,32.Substance abuse,Adolescent,"Are you able to say ""NO"" and leave the place when your friends pressurize you to smoke or drink with them?",No,"क्या आप ""NO"" कहने में सक्षम हैं और उस जगह को छोड़ देते हैं जब आपके दोस्त आपको धूम्रपान करने या उनके साथ पीने के लिए दबाव डालते हैं?",Yes,
199,age >= 192 && age <= 216 && gender == ‘female’,34.Delay in menstruation cycles,Adolescent,Have your menstrual cycles started yet?,No,क्या आपके मासिक धर्म अभी भी शुरू हो गए हैं?,Yes,
200,age > 120 && age <= 216,35.Irregular periods,Adolescent,Do you have your periods every months (i.e.28 ± 7 days)?,No,क्या आपके पास हर महीने (i..28 have 7 दिन) पीरियड हैं?,Yes,
201,age > 120 && age <= 216,36.Pain or burning sensation while urinating,Adolescent,Do you experience any pain or burning sensation while urinating?,Yes,क्या आपको पेशाब करते समय कोई दर्द या जलन का अनुभव होता है?,Yes,
202,age > 120 && age <= 216,37.Discharge/ foul smelling discharge from the genitor-urinary area,Adolescent,Do you have any discharge/ foul smelling discharge from the genitor-urinary area?,Yes,क्या आपके पास जेनरेटर-यूरिनरी एरिया से कोई डिस्चार्ज / फाउल स्मेलिंग डिस्चार्ज है?,Yes,
203,age > 120 && age <= 216,38.Pain during menstruation,Adolescent,Do you feel extreme pain during menstruation so much so that it stops you from doing routine activities/ attend schools?,Yes,क्या आप मासिक धर्म के दौरान अत्यधिक दर्द महसूस करते हैं ताकि यह आपको नियमित गतिविधियों / स्कूलों में जाने से रोक सके?,Yes,
204,age > 0 && age <= 216,13(A).SAM ,Deficiencies,"Visible severe wasting of the muscles of the shoulders, arms, buttocks and legs (child looks like skin and bones, many folds of skin on the buttocks and thigh i.e. baggy pants appearance).",Yes,,Yes,
205,age > 6 && age <= 60,13(A).SAM ,Deficiencies,"Use your thumb and press gently for a few seconds on the top side of each foot. The child has oedema, if a dent remains in the child’s foot when you lift/ remove your thumb.",Yes,,Yes,1.jpeg
206,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel tired out for no good reason?,Yes,,Yes,
207,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel nervous?,Yes,,Yes,
208,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel so nervous that nothing could calm you down?,Yes,,Yes,
209,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel hopeless?,Yes,,Yes,
210,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel restless or fidgety?,Yes,,Yes,
211,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel so restless you could not sit still?,Yes,,Yes,
212,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel depressed?,Yes,,Yes,
213,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel that everything was an effort?,Yes,,Yes,
214,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel so sad that nothing could cheer you up?,Yes,,Yes,
215,age > 120 && age <= 216,33.Feel depressed,Adolescent,About how often did you feel worthless?,Yes,,Yes,
216,age == 0,6.Congenital cataract,Defects at Birth,पुतली सफेद?,Yes,,Yes,"1.png,2.png"
217,age == 0,3.Cleft Lip & Palate ,Defects at Birth,होंठ अथवा तालु कटे हुए?,Yes,,Yes,"1.png,2.png,3.png,4.png,5.png,6.png"
218,age == 0,1.Neural tube defect,Defects at Birth,पीठ में फोड़ा अथवा रिसाव?,Yes,,Yes,"1.png,2.png,3.png"
219,age == 0,8.Congenital heart diseases,Defects at Birth,नीला पड़ रहा है?,Yes,,Yes,"1.jpeg,2.jpg"
220,age == 0,4. Talipes (club foot) ,Defects at Birth,"पैर का असामान्य आकार, पैर के सामने की ओर मोड़ना",Yes,"पैर का असामान्य आकार, पैर के सामने की ओर मोड़ना",Yes,"1.png,2.png,3.png"
